"","id","full_name","name","intelligence","strength","speed","durability","power","combat","alignment","place_birth","race","gender","eye_color","hair_color","height_cm","weight_lb","affiliations","relatives","occupation","publisher","image_url","height_in","hair_group"
"1","1","Richard Milhouse Jones","A-Bomb",38,100,17,80,24,64,"good","Scarsdale, Arizona","Human","Male","Yellow","No Hair",203,980,"Hulk Family; Excelsior (sponsor), Avengers (honorary member); formerly partner of the Hulk, Captain America and Captain Marvel; Teen Brigade; ally of Rom","Marlo Chandler-Jones (wife); Polly (aunt); Mrs. Chandler (mother-in-law); Keith Chandler, Ray Chandler, three unidentified others (brothers-in-law); unidentified father (deceased); Jackie Shorr (alleged mother; unconfirmed)","Musician, adventurer, author; formerly talk show host","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/10060.jpg",79.921303,"None"
"2","2","Abraham Sapien","Abe Sapien",88,28,35,65,100,85,"good",NA,"Icthyo Sapien","Male","Blue","No Hair",191,145,"Bureau for Paranormal Research and Defense","Edith Howard (wife, deceased)","Paranormal Investigator","Dark Horse Comics","https://www.superherodb.com/pictures2/portraits/10/100/956.jpg",75.196891,"None"
"3","3","","Abin Sur",50,90,53,64,99,65,"good","Ungara","Ungaran","Male","Blue","No Hair",185,200,"Green Lantern Corps, Black Lantern Corps","Amon Sur (son), Arin Sur (sister), Thaal Sinestro (brother-in-law), Soranik Natu (niece)","Green Lantern, former history professor","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/1460.jpg",72.834685,"None"
"4","4","Emil Blonsky","Abomination",63,80,53,90,62,95,"bad","Zagreb, Yugoslavia","Human / Radiation","Male","Green","No Hair",203,980,"former member of the crew of the Andromeda Starship, ally of the Abominations and Forgotten","Nadia Dornova Blonsky (wife, separated)","Ex-Spy","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1.jpg",79.921303,"None"
"5","5","Abraxas","Abraxas",88,63,83,100,100,55,"bad","Within Eternity","Cosmic Entity","Male","Blue","Black",0,NA,"Cosmic Beings","Eternity (""Father"")","Dimensional destroyer","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/181.jpg",0,"Dark"
"6","6","Carl Creel","Absorbing Man",38,80,25,100,98,64,"bad","New York City, New York","Human","Male","Blue","No Hair",193,270,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)","Professional criminal; former professional boxer","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1448.jpg",75.984293,"None"
"7","7","","Adam Monroe",63,10,12,100,100,64,"good",NA,NA,"Male","Blue","Blond",0,NA,NA,NA,"former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army","NBC - Heroes","https://www.superherodb.com/pictures2/portraits/10/100/1026.jpg",0,"Fair"
"8","8","Adam Strange","Adam Strange",69,10,33,40,37,50,"good","Chicago, Illinois","Human","Male","Blue","Blond",185,195,"Omega Men, L.E.G.I.O.N., R.E.B.E.L.S., formerly Seven Soldiers of Victory","Alanna Strange (wife); Aleea Strange (daughter); Sardath (father-in-law); Janey Strange (sister); Todd Strange (brother, deceased); Bantteir (mother-in-law); Adam Strange II (descendent)","Adventurer, archaelogist, ambassador","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/626.jpg",72.834685,"Fair"
"9","9","Sharon Carter","Agent 13",NA,46,NA,NA,NA,NA,"good",NA,NA,"Female","Blue","Blond",173,135,"Agent of SHIELD.; former member of the Femme Force","Harrison Carter (father), Amanda Carter (mother), Margaret ""Peggy"" Carter (sister)","Agent of SHIELD","Sharon Carter","https://www.superherodb.com/pictures2/portraits/10/100/167.jpg",68.110273,"Fair"
"10","10","Bob","Agent Bob",10,8,13,5,5,20,"good",NA,"Human","Male","Brown","Brown",178,181,"A.I.M., Deadpool; formerly Agency X, Hydra","Allison (ex-wife); Terry and Howie (sons)","Mercenary, janitor; former pirate, terrorist","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/10255.jpg",70.078778,"Dark"
